Title,Body,Labels,Assignees,Milestone
"@CEO — Define Sprint 1 goals (Aug 18–31), top 5 P1 tickets, risks","**Agent:** @CEO
**Due:** 2025-08-18
**Prompt:** Define Sprint 1 goals (Aug 18–31), top 5 P1 tickets, risks. Output TL;DR.
**Expected deliverable:** 1-page TL;DR with goals, P1 list, risks.
**Files/Areas:** docs/ceo/okrs_q3.md

**Definition of Done**
- Meets acceptance criteria in description
- Attach files/screenshots/snippets
- Tests added/updated (if code)
- Events documented (if applicable)
- QA checklist updated
","Area:Mgmt, Sprint:1, P2, Agent:CEO",,
@Developer — Code-ready plan for P1: wire /search and /vendors/[id] to DB,"**Agent:** @Developer
**Due:** 2025-08-18
**Prompt:** Code-ready plan for P1: wire /search and /vendors/[id] to DB. Provide full file contents + run commands.
**Expected deliverable:** File diffs or full files for app/search/page.tsx and app/vendors/[id]/page.tsx.
**Files/Areas:** Next.js pages; Prisma reads

**Definition of Done**
- Meets acceptance criteria in description
- Attach files/screenshots/snippets
- Tests added/updated (if code)
- Events documented (if applicable)
- QA checklist updated
","Area:Dev, Sprint:1, P1, Agent:Developer",,
@QA — Create Playwright setup + tests for Search & Vendor pages,"**Agent:** @QA
**Due:** 2025-08-18
**Prompt:** Create Playwright setup + tests for Search & Vendor pages. Provide test files and commands.
**Expected deliverable:** Playwright config + tests/e2e/*.spec.ts + run steps.
**Files/Areas:** tests/e2e/*, devDependencies

**Definition of Done**
- Meets acceptance criteria in description
- Attach files/screenshots/snippets
- Tests added/updated (if code)
- Events documented (if applicable)
- QA checklist updated
","Area:QA, Sprint:1, P1, Agent:QA",,
@Design — Wireframe specs for Search → Listing → Booking (above-the-fold) + microcopy,"**Agent:** @Design
**Due:** 2025-08-18
**Prompt:** Wireframe specs for Search → Listing → Booking (above-the-fold) + microcopy.
**Expected deliverable:** Spec doc with sections & copy.
**Files/Areas:** docs/design/search_listing_booking.md

**Definition of Done**
- Meets acceptance criteria in description
- Attach files/screenshots/snippets
- Tests added/updated (if code)
- Events documented (if applicable)
- QA checklist updated
","Area:UI, Sprint:1, P2, Agent:Design",,
@Data — Initial event schema (10 events) for Search/Listing with JSON examples,"**Agent:** @Data
**Due:** 2025-08-18
**Prompt:** Initial event schema (10 events) for Search/Listing with JSON examples.
**Expected deliverable:** Event table + JSON payload examples.
**Files/Areas:** docs/data/events_v1.md

**Definition of Done**
- Meets acceptance criteria in description
- Attach files/screenshots/snippets
- Tests added/updated (if code)
- Events documented (if applicable)
- QA checklist updated
","Area:Data, Sprint:1, P2, Agent:Data",,
@Research — Competitive sweep (12 apps) + gaps summary,"**Agent:** @Research
**Due:** 2025-08-18
**Prompt:** Competitive sweep (12 apps) + gaps summary.
**Expected deliverable:** scorecard.csv + 1-pager summary.
**Files/Areas:** research/scorecard.csv, research/summary.md

**Definition of Done**
- Meets acceptance criteria in description
- Attach files/screenshots/snippets
- Tests added/updated (if code)
- Events documented (if applicable)
- QA checklist updated
","Area:Research, Sprint:1, P2, Agent:Research",,
@Developer — Implement POST /api/bookings with zod validation and Prisma create,"**Agent:** @Developer
**Due:** 2025-08-19
**Prompt:** Implement POST /api/bookings with zod validation and Prisma create.
**Expected deliverable:** route file with response {id, advanceAmount, status:'PENDING'}.
**Files/Areas:** app/api/bookings/route.ts

**Definition of Done**
- Meets acceptance criteria in description
- Attach files/screenshots/snippets
- Tests added/updated (if code)
- Events documented (if applicable)
- QA checklist updated
","Area:Dev, Sprint:1, P1, Agent:Developer",,
@QA — API tests for bookings happy/bad payloads,"**Agent:** @QA
**Due:** 2025-08-19
**Prompt:** API tests for bookings happy/bad payloads.
**Expected deliverable:** tests/api/bookings.spec.ts + commands.
**Files/Areas:** tests/api/bookings.spec.ts

**Definition of Done**
- Meets acceptance criteria in description
- Attach files/screenshots/snippets
- Tests added/updated (if code)
- Events documented (if applicable)
- QA checklist updated
","Area:QA, Sprint:1, P1, Agent:QA",,
@Data — Add booking events (start/success/fail) to schema,"**Agent:** @Data
**Due:** 2025-08-19
**Prompt:** Add booking events (start/success/fail) to schema.
**Expected deliverable:** Updated events doc.
**Files/Areas:** docs/data/events_v1.md

**Definition of Done**
- Meets acceptance criteria in description
- Attach files/screenshots/snippets
- Tests added/updated (if code)
- Events documented (if applicable)
- QA checklist updated
","Area:Data, Sprint:1, P2, Agent:Data",,
@Ops — Refund/cancellation SOP (3 tiers) + canned replies,"**Agent:** @Ops
**Due:** 2025-08-19
**Prompt:** Refund/cancellation SOP (3 tiers) + canned replies.
**Expected deliverable:** SOP + macros.
**Files/Areas:** docs/ops/refunds.md

**Definition of Done**
- Meets acceptance criteria in description
- Attach files/screenshots/snippets
- Tests added/updated (if code)
- Events documented (if applicable)
- QA checklist updated
","Area:Ops, Sprint:1, P2, Agent:Ops",,
